Year,Country,Medal,City,Sport,Discipline,Athlete,Gender,Event
1896,Hungary,Gold,Athens,Aquatics,Swimming,"HAJOS, Alfred",Men,100M Freestyle
1896,Austria,Silver,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",Men,100M Freestyle
1896,Greece,Bronze,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",Men,100M Freestyle For Sailors
1896,Greece,Gold,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",Men,100M Freestyle For Sailors
1896,Greece,Silver,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",Men,100M Freestyle For Sailors
1896,Greece,Bronze,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,1200M Freestyle
1896,Hungary,Gold,Athens,Aquatics,Swimming,"HAJOS, Alfred",Men,1200M Freestyle
1896,Greece,Silver,Athens,Aquatics,Swimming,"ANDREOU, Joannis",Men,1200M Freestyle
1896,Greece,Bronze,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,400M Freestyle
1896,Austria,Gold,Athens,Aquatics,Swimming,"NEUMANN, Paul",Men,400M Freestyle
1896,Greece,Silver,Athens,Aquatics,Swimming,"PEPANOS, Antonios",Men,400M Freestyle
1896,United States,Bronze,Athens,Athletics,Athletics,"LANE, Francis",Men,100M
1896,Hungary,Bronze,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",Men,100M
1896,United States,Gold,Athens,Athletics,Athletics,"BURKE, Thomas",Men,100M
1896,Germany,Silver,Athens,Athletics,Athletics,"HOFMANN, Fritz",Men,100M
1896,United States,Gold,Athens,Athletics,Athletics,"CURTIS, Thomas",Men,110M Hurdles
1896,United Kingdom,Silver,Athens,Athletics,Athletics,"GOULDING, Grantley",Men,110M Hurdles
1896,France,Bronze,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",Men,1500M
1896,Australia,Gold,Athens,Athletics,Athletics,"FLACK, Edwin",Men,1500M
1896,United States,Silver,Athens,Athletics,Athletics,"BLAKE, Arthur",Men,1500M
1896,United Kingdom,Bronze,Athens,Athletics,Athletics,"GMELIN, Charles",Men,400M
1896,United States,Gold,Athens,Athletics,Athletics,"BURKE, Thomas",Men,400M
1896,United States,Silver,Athens,Athletics,Athletics,"JAMISON, Herbert",Men,400M
1896,Greece,Bronze,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",Men,800M
1896,Australia,Gold,Athens,Athletics,Athletics,"FLACK, Edwin",Men,800M
1896,Hungary,Silver,Athens,Athletics,Athletics,"DANI, Nandor",Men,800M
1896,Greece,Bronze,Athens,Athletics,Athletics,"VERSIS, Sotirios",Men,Discus Throw
1896,United States,Gold,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Discus Throw
1896,Greece,Silver,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",Men,Discus Throw
1896,United States,Gold,Athens,Athletics,Athletics,"CLARK, Ellery",Men,High Jump
1896,United States,Silver,Athens,Athletics,Athletics,"CONNOLLY, James",Men,High Jump
1896,United States,Silver,Athens,Athletics,Athletics,"GARRETT, Robert",Men,High Jump
1896,United States,Bronze,Athens,Athletics,Athletics,"CONNOLLY, James",Men,Long Jump
1896,United States,Gold,Athens,Athletics,Athletics,"CLARK, Ellery",Men,Long Jump
1896,United States,Silver,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Long Jump
1896,Hungary,Bronze,Athens,Athletics,Athletics,"KELLNER, Gyula",Men,Marathon
1896,Greece,Gold,Athens,Athletics,Athletics,"LOUIS, Spyridon",Men,Marathon
1896,Greece,Silver,Athens,Athletics,Athletics,"VASILAKOS, Kharilaos",Men,Marathon
1896,Greece,Bronze,Athens,Athletics,Athletics,"DAMASKOS, Evangelos",Men,Pole Vault
1896,Greece,Bronze,Athens,Athletics,Athletics,"THEODOROPOULOS, Ioannis",Men,Pole Vault
1896,United States,Gold,Athens,Athletics,Athletics,"HOYT, William Welles",Men,Pole Vault
1896,United States,Silver,Athens,Athletics,Athletics,"TYLER, Albert",Men,Pole Vault
1896,Greece,Bronze,Athens,Athletics,Athletics,"PAPASIDERIS, Georgios",Men,Shot Put
1896,United States,Gold,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Shot Put
1896,Greece,Silver,Athens,Athletics,Athletics,"GOUSKOS, Miltiadis",Men,Shot Put
1896,Greece,Bronze,Athens,Athletics,Athletics,"PERSAKIS, Ioannis",Men,Triple Jump
1896,United States,Gold,Athens,Athletics,Athletics,"CONNOLLY, James",Men,Triple Jump
1896,France,Silver,Athens,Athletics,Athletics,"TUFFERI, Alexandre",Men,Triple Jump
1896,United Kingdom,Bronze,Athens,Cycling,Cycling Road,"BATTEL, Edward",Men,Individual Road Race
1896,Greece,Gold,Athens,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",Men,Individual Road Race
1896,Germany,Silver,Athens,Cycling,Cycling Road,"GOEDRICH, August",Men,Individual Road Race
1896,France,Gold,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,100KM
1896,Greece,Silver,Athens,Cycling,Cycling Track,"KOLETTIS, Georgios",Men,100KM
1896,Austria,Bronze,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,10KM
1896,France,Gold,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,10KM
1896,France,Silver,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,10KM
1896,Austria,Gold,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,12-Hour Race
1896,United Kingdom,Silver,Athens,Cycling,Cycling Track,"KEEPING, Frank",Men,12-Hour Race
1896,Austria,Bronze,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,1KM Time Trial
1896,France,Gold,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,1KM Time Trial
1896,Greece,Silver,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Men,1KM Time Trial
1896,France,Bronze,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,Sprint Indivual
1896,France,Gold,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,Sprint Indivual
1896,Greece,Silver,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Men,Sprint Indivual
1896,Greece,Bronze,Athens,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",Men,Foil Individual
1896,France,Gold,Athens,Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",Men,Foil Individual
1896,France,Silver,Athens,Fencing,Fencing,"CALLOT, Henri",Men,Foil Individual
1896,Greece,Gold,Athens,Fencing,Fencing,"PYRGOS, Leonidas",Men,"Foil, Masters"
