Year,Country,Medal,City,Sport,Discipline,Athlete
1924,France,Bronze,Chamonix,Biathlon,Biathlon,"BERTHET, G."
1924,France,Bronze,Chamonix,Biathlon,Biathlon,"MANDRILLON, C."
1924,France,Bronze,Chamonix,Biathlon,Biathlon,"MANDRILLON, Maurice"
1924,France,Bronze,Chamonix,Biathlon,Biathlon,"VANDELLE, André"
1924,Switzerland,Gold,Chamonix,Biathlon,Biathlon,"AUFDENBLATTEN, Adolf"
1924,Switzerland,Gold,Chamonix,Biathlon,Biathlon,"JULEN, Alphonse"
1924,Switzerland,Gold,Chamonix,Biathlon,Biathlon,"JULEN, Ant."
1924,Switzerland,Gold,Chamonix,Biathlon,Biathlon,"VAUCHER, D."
1924,Finland,Silver,Chamonix,Biathlon,Biathlon,"BREMER, V.E."
1924,Finland,Silver,Chamonix,Biathlon,Biathlon,"ESKELINEN, A."
1924,Finland,Silver,Chamonix,Biathlon,Biathlon,"HIRVONEN, H."
1924,Finland,Silver,Chamonix,Biathlon,Biathlon,"LAPPALAINEN, Martti"
1924,Belgium,Bronze,Chamonix,Bobsleigh,Bobsleigh,"MORTIAUX, René"
1924,Belgium,Bronze,Chamonix,Bobsleigh,Bobsleigh,"MULDER, Charles"
1924,Belgium,Bronze,Chamonix,Bobsleigh,Bobsleigh,"VAN DEN BROECK, Paul"
1924,Belgium,Bronze,Chamonix,Bobsleigh,Bobsleigh,"VERSCHUEREN, Victor"
1924,Belgium,Bronze,Chamonix,Bobsleigh,Bobsleigh,"WILLIEMS, Henri"
1924,Switzerland,Gold,Chamonix,Bobsleigh,Bobsleigh,"NEVEU, Alfred"
1924,Switzerland,Gold,Chamonix,Bobsleigh,Bobsleigh,"SCHERRER, Eduard"
1924,Switzerland,Gold,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Alfred"
1924,Switzerland,Gold,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Heinrich"
1924,United Kingdom,Silver,Chamonix,Bobsleigh,Bobsleigh,"ARNOLD, Thomas"
1924,United Kingdom,Silver,Chamonix,Bobsleigh,Bobsleigh,"BROOME, Ralpf"
1924,United Kingdom,Silver,Chamonix,Bobsleigh,Bobsleigh,"RICHARDSON, Alexander"
1924,United Kingdom,Silver,Chamonix,Bobsleigh,Bobsleigh,"SOHER, Rodney"
1924,France,Bronze,Chamonix,Curling,Curling,"ALDEERT, H."
1924,France,Bronze,Chamonix,Curling,Curling,"ANDRE, Georges"
1924,France,Bronze,Chamonix,Curling,Curling,BENEDIC
1924,France,Bronze,Chamonix,Curling,Curling,"CANIVET, P."
1924,France,Bronze,Chamonix,Curling,Curling,"COURNOLLET, F."
1924,France,Bronze,Chamonix,Curling,Curling,"PLANQUE, R."
1924,United Kingdom,Gold,Chamonix,Curling,Curling,"AIKMAN, T."
1924,United Kingdom,Gold,Chamonix,Curling,Curling,"ASTLEY, D.-G."
1924,United Kingdom,Gold,Chamonix,Curling,Curling,"BROWN, V."
1924,United Kingdom,Gold,Chamonix,Curling,Curling,"COUSIN, R."
1924,United Kingdom,Gold,Chamonix,Curling,Curling,"JACKSON, V.-K."
1924,United Kingdom,Gold,Chamonix,Curling,Curling,"MC LEOD, J."
1924,United Kingdom,Gold,Chamonix,Curling,Curling,"MURRAY, T.-B."
1924,United Kingdom,Gold,Chamonix,Curling,Curling,"WELSH, R."
1924,Sweden,Silver,Chamonix,Curling,Curling,"AHLEN, J.P."
1924,Sweden,Silver,Chamonix,Curling,Curling,"KRONLUND, Carl Augustus Verner"
1924,Sweden,Silver,Chamonix,Curling,Curling,"ODLUND, T.-M."
1924,Sweden,Silver,Chamonix,Curling,Curling,"PETERSEN, C.-W."
1924,Sweden,Silver,Chamonix,Curling,Curling,"PETTERSSON, C.-A.-F."
1924,Sweden,Silver,Chamonix,Curling,Curling,"SEVERIN, E.-O."
