War ID,War Name,Country,Start Year,End Year
300,Allied Bombardment of Algiers,Netherlands,1816,1816
300,Allied Bombardment of Algiers,United Kingdom,1816,1816
301,Ottoman-Wahhabi,Ottoman Empire,1816,1818
302,Liberation of Chile,Spain,1817,1818
303,First Bolivar Expedition,Spain,1817,1819
304,Mexican Independence,Spain,1817,1818
305,British-Kandyan,United Kingdom,1817,1818
306,British-Maratha,United Kingdom,1817,1818
307,Ottoman Conquest of Sudan,Ottoman Empire,1820,1821
308,Second Bolivar Expedition,Spain,1821,1822
309,Turco-Persian,Ottoman Empire,1821,1822
310,First British-Burmese,United Kingdom,1823,1826
311,First British-Ashanti,United Kingdom,1824,1826
312,Liberation of Peru,Spain,1824,1825
313,Dutch - Javanese,Netherlands,1825,1830
314,British-Bharatpuran,United Kingdom,1825,1826
315,Brazil-Argentine,Brazil,1826,1828
316,Russo-Persian,Russia,1826,1828
317,Spanish Reconquest of Mexico,Spain,1829,1829
319,French Occupation of Algiers,France,1830,1830
320,Ottoman-Bilmez-Asiri War,Ottoman Empire,1832,1837
321,First British-Zulu,United Kingdom,1838,1838
322,First British-Afghan,United Kingdom,1839,1842
323,First Opium,United Kingdom,1839,1842
324,First Franco-Algerian,France,1839,1847
325,Peru-Bolivian,Peru,1841,1841
326,British-Sind,United Kingdom,1843,1843
327,Uruguay War,Argentina,1843,1851
329,Gwalior,United Kingdom,1843,1843
330,Franco-Moroccan,France,1844,1844
331,First British-Sikh,United Kingdom,1845,1846
332,Cracow Revolt,Russia,1846,1846
332,Cracow Revolt,Prussia,1846,1846
332,Cracow Revolt,Austria,1846,1846
333,First British-Xhosa,United Kingdom,1846,1847
334,First Dutch-Bali,Netherlands,1848,1848
335,Second British-Sikh,United Kingdom,1848,1849
336,Chinese Pirates,United Kingdom,1849,1849
337,Second British-Xhosa,United Kingdom,1850,1852
338,Ottoman-Yam,Turkey/Ottoman Empire/Egypt,1851,1851
339,Second British-Burmese,United Kingdom,1852,1852
340,French-Tukulor War,France,1854,1857
341,British-Santal,United Kingdom,1855,1856
